semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
2013-3,debat cam,agradezc intervencion,deficit public,person desaparec,public priv,senador salanuev,ultim años,senador bel,entes pel,propuest present,pas absolut,hor gestion,aprovech recurs,cooper internacional,desarroll comision,progres cataluny,pel progres,pas import,pas im,pas importantisim,ejempl pod,ejempl pa,ejempl objet,ejempl plant,cooper desarroll,cambi polit,interes demor,present mocion,buen dias,deb cambi,hac maner,puest trabaj,plen num,respond estrategi,puert vig,sen plen,2013 pag,pag deud,buen tard,medi rural
2013-6,comision especial,ampar articul,junt andaluc,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,ejempl palpabl,ejempl oblig,ños popul,ejempl ocurr,ejempl pag,ejempl pact,ejempl oficin,ejempl oper,ejempl pa,ejempl organ,ejempl ocasion,ejempl organiz,tram corrupt,erradic pobrez,victim terror,present mixt,administr local,inversion territorializ,sanid public,aquell compromet
2013-8,grup parlamentari,2013 pag,febrer 2013,desemple juvenil,plen num,sen plen,present mocion,pas igual,pas hor,pas histori,pas hech,pas hambr,pas hag,pas haci,pas hac,pas im,pas imagin,pas import,pas habl,pas importantisim,quinc minut,pel progres,cuest men,progres cataluny,men posibl,provinci gran,xunt galici,pued consensu,entes pel,fuert protest,aplausos protest,hac falt,conoc tem,ave gran,canari balear,tiron orej,polit econom,salud human,caj ahorr,amnist fiscal
2013-10,alta veloc,senador iglesi,formacion profesional,agricultor activ,foral navarr,dar respuest,san fern,acces viviend,senador cov,catalan sen,polit agrari,energ renov,poblacion montañ,via ordinari,pas im,pas imprescind,pas imagin,pas impor,pas igual,pas hor,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl pretend,ejempl parec,ejempl presupuest,ejempl oficin,apoy mocion,20 000,ayud direct,viviend alquil,program electoral,ave gran,administr local,oportun desarroll,vay termin,reform laboral
2013-12,2013 pag,sen plen,senador iglesi,deficit tarifari,plen num,gust oir,marz 2013,brech salarial,pas fronteriz,pas im,pas imagin,pas impor,pas franci,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas igual,ejempl organiz,ejempl oper,ejempl pag,ejempl ocurr,ejempl oficin,emple desarroll,ponenci estudi,termin deficit,850 000,hac apuest,caus econom,tribunal constitucional,banc central,bah cadiz,acuerd nacional,alta veloc,impact ambiental,negoci colect,plan estatal,present enmiend
2013-15,vay finaliz,crisis econom,senador cleri,quier agradec,pag proveedor,sistem educ,60 10,person discapac,ancho uic,vocal consej,consej superior,10 abril,impuest deposit,num 60,rent basic,organ pod,pas inclus,pas institu,pas im,pas imagin,pued dedic,tod administr,nov llei,etceter etceter,import red,consej general,corredor mediterrane,autonom corpor,cifr deficit,administr central,gast public,tip cer,direct comunitari,ministeri haciend,corredor ferroviari,num 59,qued clar,buen tard,59 abril,vasc sen
2013-17,activ econom,vet numer,num exp,interpel senador,tribunal constitucional,senador mart,24 abril,segur ciudadan,calid institucional,dir mism,num 62,sistem universitari,calid democrat,62 24,tip general,derech human,polit reform,pas import,pas importantisim,pas impor,cuestion previ,comunitats autònom,derech ciudadan,hi hagut,propied priv,van ten,cuent general,ust cre,derech deb,sid complet,molt important,polit españ,murci cataluñ,sub iva,asi gan,clas medi,hac falt,hech ocurr,domini public,cuest diner
2013-19,vay finaliz,vet numer,riesg exclusion,plan pag,entidad local,disposicion adicional,codig procesal,proteccion deudor,pel progres,dacion pag,senador quinter,vigil penitenciari,deudor hipotecari,enjuici civil,polit econom,ust conoc,pas hag,pas haci,pas hac,pas habl,human condicion,provinci leon,tom med,plan viviend,haci lad,public emple,viviend alquil,numer abort,sab perfect,mir haci,compart argument,treint años,num 63,resolv problem,enmiend present,polit public,intent convenc,polit activ,hac falt,63 may
2013-21,tan import,tribunal constitucional,senador lerm,alto carg,solucion problem,merc competent,problem gast,uni senador,senador interpel,ministeri agricultur,parec dialog,pas ministeri,pas hab,pas habl,pas hac,pas haci,pas hag,pas hambr,pas hech,pas histori,ejempl nivel,ejempl nuev,servici public,segreg sex,65 21,iguald oportun,agenci espacial,may 2013,registr propied,ten tranquil,senador iglesi,energ renov,organ regul,conyug carg,mixt senador,dej pag,cataluny senador,parais fiscal,fractur hidraul,portavoz popul
2013-23,senador capell,acept enmiend,vay finaliz,senador iglesi,luch dopaj,acuerd import,acces cultur,corpor local,tribunal constitucional,enmiend numer,juec profesional,unas condicion,grup parlamentari,parqu nacional,catalan sen,riesg laboral,cien años,inspeccion trabaj,num 68,68 juni,respet parlament,inversion priv,goz ampli,compromis electoral,cumpl compromis,espacial europe,medi rural,relev generacional,agenci espacial,bienest animal,modif afect,alej europ,parlament regional,cienci tecnolog,accident trabaj,asistent sanitari,plan hidrolog,cumpl program,disciplin deport,100 000
2013-25,rechaz enmiend,administr public,enmiend numer,habilit cam,violenci gener,victim terror,pod judicial,entes pel,popul sen,contempl anterior,aprueb dich,alta veloc,ampar articul,vay finaliz,servici public,tribunal suprem,may 2013,juec magistr,alianz civiliz,model econom,laboral popul,2013 pag,problem acept,afect sector,argument esgrim,present mocion,medi rural,sal crisis,cuestion prejudicial,pon acuerd,senador almiñan,unic articul,ministr esper,tribunal superior,rebaj salarial,senador eza,vet numer,deneg grup,mocion present,audienci provincial
2013-28,senador iglesi,emprend emple,destin turist,quier dec,mund rural,preci referent,pequeñ median,sistem public,reform estructural,contamin marin,vay finaliz,caden alimentari,uni senador,quier agradec,catalan sen,iva cultural,izquierd unid,mund cultur,creacion emple,unid milit,cre emple,hab hech,mejor infraestructur,fin objet,inici tramit,colegi comisari,alta veloc,provinci gran,proteccion salud,bolsill ciudadan,medi marin,72 juli,reform laboral,hac falt,tram baj,num 72,defens enmiend,podr entend,present enmiend,proyect ver
2013-37,pod acept,entes pel,apoy emprendedor,garc blanc,ambos sistem,quer entrar,fiscal sid,enmiend articul,hac esfuerz,tribunal constitucional,pas fronter,pas hambr,pas hech,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,ejempl objet,ejempl ocurr,ejempl ocasion,ejempl oblig,utiliz recurs,entidad bancari,decision polit,tribunal suprem,reform local,senador angul,econom laboral,quier qued,hoj rut,ampli consens,pod renunci,ave gran,carbon nacional,administr perifer,agenci tributari,reform laboral
2013-39,iglesi catol,justici gratuit,pid derog,2013 2014,reduc inversion,person afect,sistem nervios,regim general,libert ideolog,maxim calid,econom sosten,sanid universal,senador andres,tem abort,pas hech,pas histori,pas hor,pas igual,pas im,pas imagin,ejempl numer,ños popul,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl pa,ejempl organ,ejempl objet,ejempl organiz,septiembr 2013,2013 pag,emple tiemp,enferm alzheim,plen num,sen plen,agenci tributari,present mocion,pod adquisit
2013-41,popul sen,consolid fiscal,transport mercanc,apoy inici,entidad local,emigr retorn,formacion profesional,derog amnist,disposicion adicional,gener energ,sistem electr,impuest sociedad,reform fiscal,valor posit,canc pulmon,pas histori,pas hor,pas igual,pas hag,pas im,portavoz popul,govern bal,fond monetari,derech polit,senador pons,proced urgenci,entes pel,ciudadan quier,hab hech,van ten,progres cataluny,medi rural,castill leon,sector energ,debat polit,padr madr,consum tabac,grand defraud,pel progres,deficit tarifari
2013-43,plen num,carter servici,senador aparici,interpel nombr,sen plen,tribunal constitucional,2013 pag,tant tant,funcion justici,falt esper,clar import,octubr 2013,person discapac,12 agost,ultim años,contest interpel,dañ ocasion,medi nacional,administr hech,senador fidalg,grand problem,problem seri,octubr fech,pel progres,apoy mocion,salud nombr,25 octubr,mund diferent,intervencion quirurg,ayud public,reform laboral,propi ministeri,entes pel,parlament navarr,plan carbon,volunt acuerd,puest trabaj,afili segur,trabaj trabaj,vay termin
2013-45,administr general,senador iglesi,vay finaliz,grup parlamentari,ministeri foment,continu reform,reform laboral,rest territori,propuest vet,inversion cataluñ,pas impuls,pas incorpor,pas hac,pas haci,pas hag,pas hambr,pas hech,pas inclus,pas inclu,pas histori,bec erasmus,part polit,exposicion motiv,treint años,concili vid,presupuest general,aplausos ris,autor fiscal,sigl xxi,grand electr,entidad local,catalan sen,mujer trabaj,ramon cajal,present mocion,cos ocurr,hac años,senador aliqu,form part,vet numer
2013-47,vay finaliz,enmiend numer,senador guillot,47 000,uni senador,numer senador,ovin caprin,grup parlamentari,centr public,doñ mar,evalu ambiental,87 21,sector agroalimentari,mund rural,turist internacional,21 noviembr,num 87,noviembr 2013,region murci,pas imprescind,ocup president,interes general,lleg rajoy,salud ciudadan,titul prelimin,colegi profesional,paus senador,vay termin,escuch senador,tod med,pod mejor,mil mil,iguald oportun,mir ojos,bec erasmus,recurs econom,plan viviend,polit iguald,pod judicial,lengu cooficial
2013-50,defens senador,grup parlamentari,senador bel,pas portavoc,creacion emple,senador iglesi,vay finaliz,sistem financi,hoj rut,senador bildarratz,enmiend present,senador mariscal,senador rieradevall,senador guillot,plan especial,model financi,buen direccion,pel progres,senador altur,institut muj,medi rural,llam reform,cooper desarroll,sub impuest,vay termin,capell farr,senador gran,cre emple,agenci tributari,sanid educ,sen numer,present vet,sal crisis,servici public,diput modific,paus senador,dich anterior,defend enmiend,presupuest recuper,portavoz popul
2013-51,senador mariscal,administr public,tribunal constitucional,puest march,senador interpel,senador bel,vet numer,popul sen,caj ahorr,histori clinic,senador montill,regim especial,hor despues,pas impor,pas imagin,pas im,pas imprescind,pas impuest,pas impuls,pas import,ciudadan empres,activ principal,galici españ,activ emple,dar cuent,entidad local,articul apart,inform consumidor,gast public,exposicion motiv,segur maritim,agenci tributari,men 5000,competent materi,ministr recient,cuenc miner,polit activ,navanti ferrol,tom decision,resolv problem
2014-7,senador guillot,quier agradec,nombr ministr,agenci tributari,senador arrufat,12 febrer,tribunal constitucional,list esper,todav entrad,sector carnic,98 12,num 98,volunt polit,cifuent ambos,emple segur,cient cincuent,cincuent enmiend,ambos mixt,comision emple,dond cog,copag sanitari,part poblacion,pong funcion,cambi actitud,tren madr,vall ebro,acept enmiend,riesg pobrez,pil pac,potenci sector,defend gestion,ningun efect,ministr quier,reform abort,tiemp parcial,100 000,derech mujer,madr barcelon,van ten,codig penal
2014-8,distrit unic,mocion present,españ rob,servici public,condicion asegur,quier manifest,canari particul,formul nombr,asunt exterior,establec sistem,colegi abog,contest algun,pesquer comunitari,libertad public,lengu cooficial,balanz fiscal,servici exterior,van public,cazalis eigur,derech fundamental,ejempl oficin,ejempl pens,ejempl oper,ejempl organiz,ejempl particip,ejempl part,ejempl organ,ejempl parec,ejempl paradigmat,ejempl parlament,ejempl pag,ejempl pact,ejempl pa,ejempl palpabl,ños popul,ciud vig,enfermedad rar,algun cas,deb ten,luch fraud
2014-11,rechaz enmiend,catalan sen,rechaz numer,justici universal,grup parlamentari,senador anasagasti,num 103,trat internacional,qued marg,uso casc,103 13,turism rural,13 marz,pas hech,pas im,pas impor,pas import,pas histori,pas importantisim,pas igual,deriv autoritari,ministr pastor,cas concret,nacional cre,elabor plan,posibl dialog,perfect asum,empres segur,hac uso,despach abog,11 marz,vincul poder,medi rural,polit industrial,segur jurid,apoy polit,oblig parlamentari,enmiend senador,reform laboral,vet numer
2014-13,rechaz enmiend,grup parlamentari,quier agradec,present vet,06 deud,pas hech,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,ejempl ocasion,ejempl modif,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl objet,condicion financi,proyect tan,polit monetari,trimestr anterior,part crisis,enmiend present,comision sanid,defens consumidor,devalu salarial,zon franc,empres export
2014-15,sub tribun,foral navarr,defensor puebl,inform pis,nuev buqu,num 106,reform laboral,12 punt,vasc sen,106 abril,delit violent,sid años,senador bildarratz,pas hech,pas hor,pas igual,pas im,pas hambr,pas histori,pas import,ministr sanid,haciend administr,sub iva,nombr haciend,sanid servici,baj iva,violenci terror,conciert econom,proxim curs,puest march,cuent general,radiotelevision public,sector econom,tod victim,polit viviend,sub impuest,niñ niñ,contest interpel,polit industrial,hac años
2014-17,marz 2006,hech referent,consej segur,desplieg red,ahi import,servici public,defens senador,tod ciudad,ceut melill,present enmiend,present solicitud,enmiend numer,diagnost tratamient,derech human,atencion primari,melillens ceut,gast medi,conten mocion,mocion present,ministeri industri,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl oper,ejempl numer,cam compt,nombr industri,reform electr,senador antich,puert exterior,sector turist,num 107,disposicion adicional,22 abril,107 22,integr ferrocarril,españ deb,nacion unid
2014-19,senador iglesi,ampar articul,110 may,desarroll rural,profesional sanitari,parec mal,pod judicial,sustraccion internacional,capital provinci,senador bruguer,senador bel,recurs litig,potest jurisdiccional,num 110,ejercici potest,pas hag,pas hambr,pas hech,pas histori,pas hor,ejempl organiz,ejempl pa,ejempl pact,ejempl nacional,gust record,ultim victim,record ultim,mocion popul,atencion dependent,violenci machist,proyect justici,sanitari ademas,segu habl,medi rural,conten articul,sistem atencion,zon proteg,herenci recib,madr habl,recort derech
2014-20,garc pag,comision iguald,merc laboral,emple juvenil,vaci legal,senador cazalis,form part,pas imprescind,pas importantisim,pas import,06 deud,pas impor,pas imagin,pas im,pas igual,pas impuest,pas impuls,pas inclu,pas inadvert,pas hor,ejempl objet,ejempl oblig,ejempl ocasion,ejempl oficin,ejempl organ,ejempl ocurr,ejempl oper,ejempl nuev,nacional competent,hac dias,violenci gener,comision mixt,pod pag,comision nacional,regl jueg,socied inform,unid merc,aceit oliv,cre comision,qu ocurr
2014-23,senador yangu,poder public,200 000,muj embaraz,separ poder,articul 87,grup parlamentari,entes pel,reduc numer,ministeri foment,pod judicial,pel progres,progres cataluny,pas imagin,pas im,pas igual,pas hor,pas impor,pas import,06 deud,red carreter,derech human,braz cruz,hab men,pag bec,ministeri econom,juni 2014,sen plen,ocup españ,2014 pag,deud public,organiz agrari,plen num,apoy matern,114 juni,servici public,ultim trimestr,num 114,model financi,retras pag
2014-25,majest rey,ven habl,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas histori,pas in,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
2014-26,vay finaliz,defens senador,tom decision,senador aliqu,garant financ,vet numer,pod judicial,ministr sanid,buen tard,via administr,marin mercant,creacion emple,cuenc ebro,present inform,dialog dialog,legislatur pas,cultur deport,concesion indult,registr civil,buen practic,bas regul,subsidi desemple,cotiz segur,analisis riesg,tiemp parcial,energ renov,118 25,num 118,caden alimentari,mixt senador,articul unic,años medi,respons ambiental,famili pued,conten econom,transport maritim,25 juni,san andres,entes pel,servici public
2014-28,catalan sen,combat desiguald,creacion emple,senador guillot,gast public,juec magistr,estacion servici,sector porcin,comision servici,viviend alquil,apart import,senador plan,comision deleg,respect senador,progres cataluny,entes pel,pel progres,pas igual,pas im,pas imagin,respet regl,compart razon,podr hab,educ public,ministr habl,buen tard,tras part,institut astrofis,pobrez infantil,num 119,reform laboral,119 juli,pag famili,preci carbur,empres priv,salari minim,form part,servici public,tribunal suprem,television public
