,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
10,sistema arma,bunal cuenta,sucesion donacion,hem presentat,mentario entesa,sector pesquero,diciembr 2005,tribunal superior,senador cervera,llei memòria,tribun constitu,hace uso,guardia ci,127 15,fresno sce,minuto senador,on mahaiburu,senadora moral,medio convenio,accesibilidad univers,universidad privada,informar proyecto,aquest fet,madrid cuesta,aplausos rumor,espacio protegido,internacion menor,pacto local,mayor 45,lengua minoritaria
11,fuerza ar,chazada pasamo,publica tran,aquest ca,febrero 2010,pasamo entonc,pr esidencia,independencia judici,nombr industria,senador defensa,nal constitucion,senador mateo,miembro guardia,cadena perpetua,alcañiz fresno,senadora abad,portavoc deseen,senador franco,nota constitutivo,pacto violencia,profesion grado,saura laporta,pasamo portavocespor,247 23,60 000,fauna silvestr,vicepresident vicepresident,estatuto marco,91 11,lengua ofici
12,materi defensa,senadora parera,impuesto patrimonio,fin tot,escaño socia,renta agraria,ciento gasto,audiencia provincial,entend concedida,nostra proposta,barbuzano senador,tard catorc,militar guardia,senador medina,agrupadament asentimiento,designado presentar,baita ere,bra senador,medio acuerdo,ministerio igualdad,info xxi,guillot miravet,però amb,gra senador,precio luz,flora fauna,senadora rieradeval,sistemanacion salud,contrato temporal,mu defensa
13,consumido tiempo,lobo asenjo,tipo gravamen,jo crec,escaño parlamen,aceit oliva,28 ciento,colegio abogado,proyecto proposicion,col legi,tribun constitucion,prolongado aplauso,laguardia civil,senadora angustia,senadora villanueva,miento obligars,jauna arratsald,senador acosta,dorrego senador,derecho mujer,edu cativo,dictamen texto,aquest estat,portavoc desean,diciembr 2021,plan rector,senador acacio,mundo local,recibo luz,lengua propia
14,za armada,cuenta general,impuesto so,estem acord,entesa catalana,agrario pesquero,presu puesto,fuent senador,doy reproducida,une quant,marina mercant,senador chueca,cuerpo policial,consumidor usua,pedir separada,senador quetgla,egin behar,senador armet,ad referendum,igualdad efectiva,consejo escolar,proyecto presentaron,cal tenir,prometo aplauso,covid 19,espacio natural,agrupa dament,sistema sanitario,trabajo tiempo,euskera lengua
15,ar mada,fiscal jefe,tarifa impuesto,presid senyori,mentario senador,aeropuerto hierro,puesto general,judici consejo,senador quintero,porcina africana,dor dorrego,entidad capit,po seguridad,senador esteban,confeder senadora,senador autorizado,jauna egun,desea uso,europeo derecho,plane igualdad,proyecto educativo,muñoz lagar,memòria històrica,senadora do,media trabajadora,rector uso,derecho sexual,nacion desalud,creando empleo,distinta castellano
16,ministerio defensa,vigilancia penitenciaria,racion medicamento,estem parlant,escaño popu,director infraestructura,ciento incremento,poder judi,correspond particular,aquest territori,tribun constitucio,tard reanuda,re texto,programa ordenador,senador liso,prestar consenti,on senatari,ne senador,firmado ad,violencia sexual,person docent,general plazo,estat dret,cuesta san,media distancia,parqu na,chazado particular,nacion trasplant,135 26,escaño simplement
17,carro combat,inform tribun,impuesto transmision,govern estat,presentada parla,sector ganadero,diciembr 1996,poder ju,neskatilla empacadora,hem anat,senador valverd,portavoc portavoz,senadora mora,mo defendida,ematen dut,tratado convenio,defensa presentada,senador comorera,dada defendida,convenio estambul,inform pisa,ponencia designada,cal recordar,amba ciudad,presupuesto 2018,materia medioambient,sexual reproductivo,profesion sanitaria,45 13,ra senadora
18,mision exterior,procedimiento penal,carga tributaria,gener estat,grupoparlamentario entesa,2007 2013,junio de2001,planta judici,senador peñarrubia,presentad pel,constitucion sentencia,denegacion senador,senador luna,esteban albert,hitza ematen,seri iv,mahaiburu andrea,gra cia,abajo firmant,discapacidad intelectu,senador lago,pasamo seguidament,com saben,bosqu hita,next gener,comision proyec,dictamen pasamo,gener estabilidad,desempleo juvenil,castellano lengua
19,secretario defensa,senador lobo,autor citado,reial decret,mercado alquil,precio origen,junio de2000,der judici,acta anterior,articl 155,originaria manifestar,hora minu,fuerza cuer,gener defensa,senador vaya,recuerdo presenci,eta ez,boneta senador,senador bueso,abuso sexual,ciclo formativo,interpelant tiempo,expedient nacionalidad,inclus senador,24 20,espacio natur,universidad nacion,competencia impropia,factor sostenibilidad,permit intervengo
