,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
10,dictamin proyect,senador gatzagaetxebarr,aleu catalan,launion europe,senador lag,diciembr 2013,tiemp conclu,gestion registr,comision entidad,deneg senador,2013 2018,total seccion,cort penal,senador arnaiz,oficin judicial,milions eur,ratific ponenci,nombr industri,univers public,roman jasan,inclusiv senador,aprob asent,imprim rivadeneyr,prevision crecimient,condicion plen,preparatori constitut,conveni estambul,senador torr,fuert prolong,jaun egun
11,entrad sen,rueg vay,solicit separ,2002 um8,atun roj,carter servici,gestacion subrog,dorreg defend,produccion energ,41 mocion,vent perd,gas to,legal internacional,planif hidrolog,plant judicial,interpel lac,gascon merel,arbitral consum,esmen substituc,text seccion,vasc correspondient,prest consent,36 telefon,contrat indefin,sistem educ,senador obras,integral violenci,senador fajarnes,escañ soci,on senatari
12,dictam proyect,bonet piedr,pid separ,2006 um7,mant ampar,pandemi cov,aliment agricultur,interpel excelentisim,consum energ,interpel 41,zon miner,credit ampliabl,ayud humanitari,pertenecient mism,derech penal,nostr grup,especial segur,deport femenin,emit 259,local trafic,chaz enmiend,paus asi,madr cuest,destru emple,jur promet,popul chas,sufr violenci,senador canalej,prolong aplaus,merc alquil
13,design ponenci,bra senador,reanu da,plen 21,sector frut,diciembr 2021,miguel hernandez,termi ne,energ nucl,articul 195,cas regional,proyect presu,civil dictadur,cuenc ebro,demarc plant,pel fa,minim cotiz,exot invasor,abell pronunci,subsidi mayor,pas seccion,aprob autoriz,247 23,rent trabaj,derech educ,agrup democraci,sancion text,servici postal,esca ños,eta ez
14,fech asim,gra senador,lasfuerz armad,2009 um5,pesc ilegal,factur luz,privat agu,albistur catalan,plan energ,195 reglament,mund agrari,presu puest,resolu nacion,anterior pertenecient,tutel judicial,amb aquest,ipc previst,cigarrill electron,autor anterior,plan juventud,correspondient enmiend,corredor mediterrani,san vicent,interes deud,enseñ public,mu agrup,ciudad ceut,sospedr senador,ris escañ,impugn numer
15,proced ordinari,cabrer palomar,proced text,plen 23,reintegr amejor,nacional salud,interrump embaraz,tos proposicion,mund local,carnaval cadiz,sector min,consider presupuest,victim guerr,hidrol gic,ministeri fiscal,aquest cambr,comision ratific,person movil,emit 255,sociedad agenci,cost serr,asent autoriz,corredor atlant,rent altas,escuel public,mu popul,violenci muj,senador arriet,escañ derech,uste dut
16,modif text,nacional vas,solicit vo,plen marz,posibil pesc,aplausos rumor,tribunal consuetudinari,rabaj asunt,liquid definit,inmaterial human,segur miner,pre supuest,desaparicion forz,caudal ecolog,secretari judicial,tot això,laboral transitori,person transexual,reform llei,salud muj,do vot,drets humans,telefon 247,especial emple,consej escol,paus agrup,jur aplaus,articul 87,sos escañ,defens impugn
17,modif disposicion,inici paus,guard continu,plen octubr,product pesc,ingres minim,consej hombr,tad reglament,empres electr,mism elev,altern comarc,cion presupuestari,amnist internacional,hidrolog cuenc,instanci instruccion,nostr esmen,vicepresident da,104 27,emit 261,acces jubil,pas text,internacional remit,palm gran,garant juvenil,acat mient,nombr haciend,pact violenci,pid articul,rumor protest,momentu honet
18,general plaz,portavoc des,carrer milit,plen 29,ocm aceit,minim vital,romay becc,cam agra,carbon nacional,comprend dias,garc blanc,entend presupuest,human nacion,rio ebro,independent judicial,però tamb,contri butiv,sector cultural,salin ibiz,antoni romer,abstenci nes,constitut acuerd,alta veloc,baj salari,constitu excelentisim,mu portavoc,form previ,europe lengu,cienci ecnolog,hau da
19,asim public,abre portavoc,pid alusion,2005 um4,red enmall,dej nadi,senador cerver,mecan peñ,nacional energ,sumari conten,capital riesg,conjunt presupuest,alto fueg,nacional agu,organ jurisdiccional,hem presentat,contribut contribut,person lgtbi,eltext facilit,roy popul,numer defens,saur laport,transport movil,grand fortun,sosten fond,mu uni,mujer discapac,paus continu,ños popul,azken fin
