,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
10,cre cuestion,miembr diput,atencion sanitari,impuest grand,gast electoral,regim foral,relacion proposicion,efect invernader,promocion public,resolu nacion,proteccion animal,trat lisbo,estatut empres,comision pact,fronter frances,polit universitari,constitucional dich,pas cataluñ,oficin judicial,interrump embaraz,sector lacte,conjunt presupuest,acuerd dictam,popul paus,foment investig,jurament promes,balanz pag,complement destin,paus mixt,educ infantil
11,nacional objecion,permanent pertenecient,profesional sanitari,acog amnist,cas barcen,parlament autonom,present federal,calid agu,ejecu hipotecari,penal internacional,castig pen,libr comerci,digital terrestr,pension habl,plan galici,profesional ocupacional,declar definit,gent quier,carrer judicial,vicepresident gran,profesional agrari,capitul inversion,ped separ,aprob rest,tecnolog inform,formul doñ,reduccion deficit,colect funcionari,especial agrari,libert enseñ
12,debat ciert,suspend mañan,atencion person,iva reduc,combat corrupcion,illes balears,mujer victim,gas efect,parqu viviend,puebl saharaui,agenci proteccion,trat amsterdam,general radiotelevision,habl pension,mod transport,profesional grad,interpret constitu,gent gent,audienci provincial,mare adel,desarroll rural,presupuest ejercici,enmiend propuest,rechaz numer,administr electron,promes acat,recesion econom,cuerp superior,segur higien,institu defensor
13,ponenci trabaj,mixt acuerd,centr salud,rebaj iva,izquierd abertzal,pact autonom,inici izquierd,trasv ebro,merc viviend,civil polic,vigent codig,cohesion econom,consecuent interpel,pension españ,aeropuert prat,formacion ocupacional,pronunci tribunal,urgent confederal,secretari judicial,regul interrupcion,flot pesquer,peset increment,manten enmiend,pas fijacion,sistem portuari,sant sed,finanz public,conserv espaci,parlamentari des,enseñ priv
14,coincid grup,muse prad,industri farmaceut,baj iva,tram corrupcion,pact local,nombr izquierd,metr cubic,merc hipotecari,sah occidental,aspect proyect,tard reanud,canal television,campuzan popul,aeropuert barcelon,contrat practic,debat constitucional,habl cataluñ,public justici,cam rumor,agricultur ganad,trafic empres,sen respect,dictam seccion,tecnolog innov,distint castellan,crec cre,falt lev,maxim minut,enseñ public
15,evident debat,agrup democraci,reform sanitari,tip superreduc,tierr vasc,construccion autonom,integral violenci,tiemp conclu,clausul suel,servici inteligent,penal vigent,constru europ,estatut radiotelevision,sistem complementari,kilometr autov,escuel universitari,constitucional pronunci,quier romp,recurs casacion,corpor bancari,ministr agricultur,modif presupuestari,somet seguid,direct lectur,imprim rivadeneyr,formul jos,deficit exterior,pic europ,incapac permanent,investig sociolog
16,profund tem,guard ocup,oficin farmaci,consumidor vulner,baj sospech,cabild insular,violenci mujer,emision gas,cooper credit,victim terror,proyect ocup,construccion europ,public radiotelevision,respet orador,servici ferroviari,propi univers,propi sentenci,hac gent,consej fiscal,yañez barnuev,activ agrari,presupuest ingres,comision articul,transaccional vot,entidad fin,nombr ministr,program estabil,situacion reserv,enfermedad profesional,educ especial
17,tem complej,guard adel,centr sanitari,santan motor,ilegaliz batasun,hech insul,popul izquierd,parqu natural,viviend libr,envi trop,fe public,futur europ,control radiotelevision,pension deb,ancho via,nacional formacion,dic tribunal,comunitat valencian,juici rap,derech huelg,agricol ganader,impuest luj,propuest sen,acept rechaz,desarroll socied,doñ carm,tech gast,funcionari public,garant salarial,ayud estudi
18,objecion sobreven,acord junt,servici salud,iva cultural,marian rubi,desarroll autonom,proposicion federal,agu residual,particip preferent,cort penal,proteccion dat,reanud tard,part mocion,factor sostenibil,gestion aeropuert,docent investig,constitu interpret,ciudadan popul,pact justici,numer abort,product agrari,presupuest inicial,reanud mañan,mixt suscrit,investig cientif,castellan lengu,econom crec,plural coscubiel,higien trabaj,educ fisic
19,moment proposicion,extraordinari plen,administr sanitari,plan viv,problem corrupcion,asamble regional,tod mujer,produccion energ,prest hipotecari,estructur milit,figur delict,cooper reforz,ces director,huch pension,veloc madr,seleccion profesor,constitucional señal,acuerd investidur,independent pod,rumor aplaus,rent agricultor,sucesion donacion,retir numer,dictam vot,servici portuari,condicion plen,crecimient creacion,jef oficial,general aviacion,educ secundari
