semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
1979-25,recurs human,pod ver,abarqu tod,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral ejempl,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral derech,electoral diput,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral dij,ñor diput,desequilibri regional,ministeri defens,desequilibri territorial,central sindical
1979-26,period transitori,organ autonom,retir reserv,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari federal,parlamentari general,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral democrat,electoral dificil,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dich,econom europe,civil interes,administr justici,hac tiemp,asunt exterior
1979-30,correspond ahor,pec barb,tip imposit,ponenci comision,sistem fiscal,dad afirm,democrat vot,interes general,interven cuestion,autonom vasc,increment plantill,hech impon,palabr percib,razon polit,vasc sustitu,comerci minor,previst articul,plant problem,judicial juec,administr justici,electoral dir,electoral dij,electoral cuestion,electoral dificil,electoral dich,electoral dic,electoral dig,bachillerat formacion,estudi bachillerat,autonom universitari,polit exterior,recurs inconstitucional,estatut autonom,escal progres,sector electr,separ apart,articul constitu,conflict atribu,plan energet,centr democrat
1979-37,administr local,iglesi catol,derech civil,abarqu tod,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari except,parlamentari form,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,parlamentari establec,parlamentari esper,electoral dig,electoral dificil,electoral democrat,electoral dic,electoral dich,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral determin,ñor diput,libert religi,ministeri educ,nuev centr,funcionari polic,tod socied,relacion laboral,centr democrat,pod acept,solucion problem
1979-38,disposicion transitori,econom merc,algun maner,public boletin,numer seri,termin disposicion,univers investig,estructur comercial,correspond ahor,cuart interpel,general numer,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,abarqu tod,parlamentari expres,parlamentari form,parlamentari exist,parlamentari except,electoral desarroll,electoral derech,electoral discurs,electoral distint,electoral despues,respect funcion,activ respect,derech penal,ejercici profesional,centr comercial,penal especial,razon form,grand centr,miembr tribunal,total enmiend,reform sanitari,comision investig,ministeri educ,particip gestion,apart articul
1979-39,extraordinari urgent,organ preautonom,pequeñ median,polit econom,abarqu tod,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari explic,parlamentari fuerz,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,electoral distint,electoral dificil,electoral dic,electoral dir,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral dud,electoral discurs,transport public,consej general,consej asesor,plan econom,comit empres,algun maner,consej administr
1979-41,ayunt tod,comision constitucional,siempr neg,sistem financier,sociedad anonim,segur ciudadan,banc oficial,parlamentari explic,parlamentari expres,parlamentari federal,parlamentari fij,parlamentari except,parlamentari excepcion,parlamentari final,parlamentari firm,parlamentari form,parlamentari formul,parlamentari evident,parlamentari fuerz,parlamentari fundamental,electoral ejempl,electoral efect,electoral dud,electoral distint,electoral discurs,electoral diput,electoral dir,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral dij,ñor diput,caj ahorr,entidad financ,institu democrat,mism tiemp
1979-42,revaloriz pension,articul numer,uso paus,dej constanci,abarqu tod,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari explic,parlamentari formul,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,electoral discurs,electoral despues,electoral diput,electoral dir,electoral dig,electoral dificil,electoral dich,electoral dic,electoral dij,general servici,carg public,comision especial,concurs trasl,puert autonom,derech human,beb alcohol,enorm import,tom consider,present proposicion,centr democrat
1979-43,comision defens,abarqu tod,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari grup,parlamentari fin,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari fij,electoral diput,electoral desarroll,electoral dij,electoral dig,electoral cualqui,electoral dificil,electoral dich,electoral dic,electoral determin,electoral cre,electoral cuant,milit obligatori,central nucl,abord problem,estudi viabil,nivel produccion,libr text,tom consider,asistent sanitari,control taquill
1979-45,personal auxili,competent consej,part apart,administr justici,oblig record,parlamentari excepcion,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari estim,parlamentari fundamental,parlamentari estudi,parlamentari explic,parlamentari exist,parlamentari except,electoral dich,electoral dic,electoral dij,electoral determin,electoral desarroll,electoral distint,electoral derech,electoral depend,electoral dud,electoral despues,electoral diput,dictam comision,vot separ,servici administr,juec magistr,derech asoci,junt electoral,present candidatur,qued clar,consej general
1979-46,libert religi,enseñ religi,import libr,prest conform,conform tramit,sub preci,alta represent,ilustr compañer,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari exist,parlamentari form,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral dic,electoral despues,electoral desarroll,electoral determin,electoral depend,electoral dentr,electoral democrat,electoral dej,electoral derech,resolv problem,numer vuel,años despues,control aere,trabaj empresari,educ fisic,enseñ religion,segur ciudadan,plen consej,consej superior,puest trabaj
1979-47,respond nombr,habl proteccion,obras public,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,parlamentari establec,electoral gust,electoral desarroll,electoral derech,electoral hab,electoral depend,electoral dentr,electoral democrat,electoral distint,electoral gan,articul hac,dibuj anim,arrend urban,industri cinematograf,unid norteamer,unas neces,cuot pantall,beb alcohol,distribu territorial,plan energet,territori sah
1979-48,cre oportun,numer cre,paus nombr,paus vot,diferent privilegi,electrif rural,estatut vasc,vot emit,sistem fiscal,parlamentari explic,parlamentari federal,parlamentari exist,parlamentari fij,parlamentari fin,parlamentari final,parlamentari except,parlamentari excepcion,parlamentari firm,parlamentari evident,parlamentari form,clas pasiv,empres periodist,compañ transmediterrane,gast public,laboral transitori,retribu basic,autonom universitari,aument dotacion,elabor estatut,estatut autonom,hac falt,ministeri haciend,entes territorial,funcionari public,aument gast,corpor local,fond nacional,centr democrat,presupuest program,presupuest general
1979-50,fijacion postur,increment salarial,indic preci,efect debat,admit tramit,acumul efect,dich camach,consult organiz,tramit transaccional,rent nacional,sindical asoci,termin vulgar,postur grup,product medi,medi nacional,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari final,parlamentari fin,electoral desarroll,electoral derech,electoral despues,salari minim,hectometr cubic,articul bis,puest trabaj,text proyect,treint dias,parqu nacional,mism tiemp,estatut trabaj,negoci colect,autonom part,vot separ,relacion laboral,conveni colect,contrat trabaj,text dictam,numer articul
1979-51,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari general,parlamentari grup,electoral dic,electoral determin,electoral despues,electoral decision,electoral derech,electoral desarroll,electoral depend,electoral dentr,electoral democrat,electoral dej,negoci ambit,expedient crisis,audienci nacional,articul constitu,represent trabaj,contrat trabaj,grup parlamentari,text dictam,conveni colect,comites empres
1979-52,debat total,propi articul,condicion plaz,organ represent,present moment,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,electoral dificil,electoral dich,electoral distint,electoral discurs,electoral determin,electoral despues,electoral dud,electoral desarroll,electoral efect,electoral derech,electoral depend,electoral dir,articul constitu,juec magistr,tribunal suprem,numer articul,modal referendum,disposicion transitori,grup parlamentari,segur nucl
1980-5,demand separ,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,abarqu tod,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari grup,parlamentari fij,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral conten,ñor diput,caus separ
1980-7,tramit proyect,dictam comision,part credit,pod salv,presupuest part,sector public,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral discurs,electoral dir,electoral diput,electoral dij,electoral depend,electoral dificil,electoral dig,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,hac referent,inform auditor,titul nobiliari,director general,articul constitu,junt andaluc,junt energ,segur nucl
1980-8,comision cultur,escuel universitari,retir enmiend,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,parlamentari establec,parlamentari esper,parlamentari form,electoral diput,electoral despues,electoral derech,electoral depend,electoral dentr,electoral desarroll,electoral dij,disposicion adicional,medic forens,derech pasiv,pesc bajur,pod evit,tom consider,consej general,present proposicion,setent años,prision provisional,consej europ,enorm import,articul constitu
1980-9,ofert monetari,tem funcion,explic nombr,cort general,lenguaj hech,qued clar,sistem autonom,conjunt sistem,fij period,parlamentari habl,parlamentari hab,parlamentari gust,parlamentari grup,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari firm,parlamentari form,parlamentari final,parlamentari fin,electoral dij,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral hac,electoral gobern,entidad gestor,codig penal,central nuclear,libert expresion,entidad creditici,colegi profesional,derech reunion,concurs merit,banc españ
1980-10,respond interpel,general numer,derech educ,garc garc,mism razon,boletin oficial,public boletin,cort general,oficial cort,parlamentari evident,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari europe,parlamentari explic,parlamentari formul,electoral democrat,electoral dic,electoral discurs,electoral diput,electoral determin,electoral desarroll,electoral derech,electoral distint,electoral depend,electoral dud,electoral dentr,electoral despues,electoral dir,consej econom,plan energet,fond public,enmiend present,penal procesal,energet nacional,educ preescol
1980-11,pec barb,establec articul,tom part,centr subvencion,tip educ,zon rural,introduc sector,caract propi,polit general,public priv,derech asoci,institu libr,formul disposicion,intencion declar,dar moment,consej maner,satisfac neces,exist profesor,precis cre,padr derech,electoral derech,prepar especif,carg director,sector interes,libert catedr,sector afect,impart enseñ,pod organ,funcion centr,incorpor lengu,in voc,centr escolar,regim interior,consej direccion,poder public,qued clar,fond public,ningun tip,articul dic,personal docent
1980-13,ningun tip,consej superior,carg recurs,text constitucional,ponenci comision,trabaj cam,poder public,confesion religi,pec barb,creenci religi,cre sincer,feder internacional,quier manifest,parlamentari fij,parlamentari final,parlamentari fin,parlamentari firm,parlamentari form,parlamentari explic,parlamentari expres,electoral dij,electoral depend,electoral dificil,ñor diput,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,text ponenci,rein unid,derech libertad,gran bretañ,estatut autonom,acuerd grup,present document,econom administr,trabaj afect,fuerz conjunt
1980-15,vot emit,aprob articul,aprob sen,articul manten,pec barb,haci fuerz,medi tard,pretend añad,proced articul,paus vot,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari establec,parlamentari explic,parlamentari exist,parlamentari final,parlamentari except,parlamentari excepcion,empres priv,interpel mism,academi general,autor civil,licenci universitari,segur nucl,papel sen,espaci aere,gust separ,separ letr,presupuest general,acuerd fond,obras public,exam interpel,articul habl,ministeri defens,respuest recib,vot sen,consecuent pas,vot separ
1980-16,vot emit,regim local,obras public,aprob articul,pec barb,enmiend sen,numer articul,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari except,parlamentari firm,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,valor añad,impuest ced,efect manten,relat articul,admit tod,vot disposicion,administr justici,esfuerz fiscal,impuest valor,juici polit,estatut autonom,polit hidraul,estatut cataluñ,gast public,interpel uso,polit fiscal,pas exam,qued clar,dese uso,respond nombr
1980-17,vot emit,dictam comision,aprob articul,banc priv,nombr centrist,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,abarqu tod,parlamentari general,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,cuenc taj,numer despues,recurs hidraul,servici public,incapac laboral,in voc,metr cubic,tomador segur,laboral transitori,mal fe,añad parraf,injustici histor,oblig asegur,debat comision,confeder hidrograf,afect trasv,trat problem,contrat segur,cualqui cas,centr democrat
1980-19,sen articul,pec barb,resolu previ,guardi civil,reform sanitari,abarqu tod,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari explic,parlamentari fuerz,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral dir,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,consider absolut,form part,debat produc,servici nacional,segur ciudadan,sistem sanitari,autonom universitari,part polit,econom extern,maxim energ,centr democrat,fuerz polit,pid cuestion,mundial salud
1980-20,abarqu tod,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,parlamentari fundamental,parlamentari general,electoral despues,dias encontr,fiscal rein,junt portavoc,hech notori,proyect reform,bas regim,pon march,plante problem,justici milit,administr posit,ministeri viviend,nac derech,regim miner,asistent letr,vien sosten,disposicion transitori,codig justici,interes public,especul viviend
1980-21,viv baj,baj imperi,habl plan,leid detenid,represent puebl,tem ciert,ris pas,ten hij,parlamentari indic,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,electoral dir,electoral diput,electoral dij,electoral dig,electoral defend,electoral dificil,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral dich,estatut cataluñ,nort sur,sector priv,discurs investidur,violenci terror
1980-22,altern pod,alusion sid,dej funcion,abarqu tod,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari fundamental,electoral dich,electoral dic,electoral dej,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,ñor diput,luch inflacion,resolv problem,sensacion insegur,problem neces,mocion censur,gast corrient,libertad public,segur ciudadan,articul constitu,volunt polit
1980-24,dictam comision,oficial cort,brev posibl,boletin oficial,impuest sociedad,presion fiscal,admision tramit,paus vot,cort general,public boletin,general numer,educ contest,parlamentari fij,parlamentari fuerz,parlamentari excepcion,parlamentari formul,parlamentari form,parlamentari firm,parlamentari except,parlamentari exist,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral dig,electoral gobern,polic judicial,produc retras,control calid,garc romanill,organiz sindical,numer articul,administr justici,puebl andaluz,consej general,institut nacional,negoci preci,sector calz,codig penal,enjuici criminal
1980-25,dud ningun,paus vot,vot emit,aprob articul,fuerz armad,junt portavoc,enmiend entend,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,oid consej,propon sustitu,com text,buqu guerr,articul reform,tod form,qued clar,indic dispuest,aquel moment,centr democrat,numer articul,dic verd,consej regul,bander nacional,reconoc derech,autor judicial,falt lev,codig penal,jurisdiccion milit,justici milit
1980-26,defens dictam,disposicion adicional,numer andaluc,aprob articul,aprob numer,proced numer,apoy proposicion,adicion numer,articul paus,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,abarqu tod,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,electoral dij,ñor diput,electoral dic,electoral determin,electoral dig,electoral dich,electoral dificil,institut nacional,foment emple,salari minim,cuant subsidi,formacion profesional,grup parlamentari,articul bis,consej general,segur desemple,basic emple,prestacion desemple,dictam comision,text dictam
1980-37,text dictam,sur franci,present mocion,pequeñ median,pec barb,contest interpel,abarqu tod,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari excepcion,parlamentari except,parlamentari form,parlamentari evident,parlamentari europe,parlamentari estudi,electoral determin,electoral dij,electoral despues,electoral desarroll,electoral distint,electoral derech,electoral dud,electoral discurs,electoral diput,secan regadi,hech concret,arrend arrendatari,ten cuent,exposicion motiv,profesional agricultur,preci percib,numer articul,sindicat agrari,codig civil,arrend rustic
1980-38,inversion priv,mism tiemp,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari expres,parlamentari general,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral dificil,electoral defend,electoral dich,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral dic,ñor diput,mocion censur,puebl andaluz,inversion public
1980-39,text dictam,cambi unilateral,altos horn,cas concret,parlamentari grup,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,abarqu tod,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,electoral elabor,electoral ejempl,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral correspondient,ñor diput,cam agrari
1980-41,organ autonom,correspond formul,ceut melill,econom comerci,contest interpel,interes nacional,interpel formul,parlamentari grup,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,abarqu tod,parlamentari gust,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,electoral distint,electoral dir,electoral discurs,electoral dig,electoral dic,electoral dich,electoral dificil,electoral dij,ñor diput,electoral diput,articul reglament,pued dej,ahorr energ,ministeri industri,ministeri univers,jorn teoric,separ matrimonial,boletin oficial,form part,tom consider
1980-42,interpel formul,frag iribarn,abarqu tod,parlamentari gust,parlamentari grup,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,electoral dic,electoral determin,electoral dich,electoral desarroll,electoral democrat,electoral dentr,electoral derech,electoral despues,electoral depend,ejercit tierr,administr local,algun maner,part ejercit,ampliacion plantill,guardi civil,financi ayunt,formul jurament,investig cientif,organiz agrari,corpor local
1980-43,public boletin,proteccion oficial,viviend proteccion,abarqu tod,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,electoral dich,electoral dic,electoral determin,electoral dificil,electoral despues,electoral desarroll,adopt criteri,proposicion lleg,registr civil,agrav pen,tip penal,administr justici,lleg tard,exposicion motiv,mism tip,diput sen,administr central,quier señal,hac referent,justici milit
1980-44,public boletin,dese uso,juez competent,previst articul,somet consider,med polit,setent hor,contest interpel,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari except,parlamentari fundamental,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,electoral dig,electoral dej,electoral dich,electoral dic,ñor diput,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral determin,ampliacion limit,derech human,contrat temporal,isla palm,med excepcional,zon proteccion,total acuerd,parqu nacional
