,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
10,objecion concienci,permanent pertenecient,mundial salud,rejon nombr,aplaus banc,pact local,enmiend federal,calid agu,particip preferent,terror eta,acced viviend,fluj migratori,nombr proponent,pension medi,plan carreter,negoci colect,jurid administr,pas convalid,organ judicial,sociedad respons,nombr vasc,devolu presupuest,defend numer,dictamen comision,desarroll tecnolog,promes acat,objet estabil,agenci proteccion,maxim minut,educ secundari
11,derech sufragi,tramit direct,servici sanitari,accesibil universal,falt verd,cort castill,nombr federal,efect invernader,garant deposit,miembr fuerz,viviend habitual,acta unic,urgent mixt,tod pension,mod transport,profesional ocupacional,declar definit,convalid proyect,victim delit,sindical empres,frut hortaliz,compar presupuest,present articul,rechaz rest,presupuest financier,formul jos,sal crisis,gorri izquierd,paus agrup,centr educ
12,figur delict,direct lectur,centr salud,consider contradich,ven explic,regim foral,nombr izquierd,central nucl,caj castill,nacional polic,merc alquil,cohesion econom,urgent popul,recomend pact,director infraestructur,mer expedient,dic tribunal,mixt rod,secretari judicial,siderurgi integral,profesional agrari,increment retribu,segun dictam,rechaz vot,tecnolog innov,doñ carm,tech gast,prevencion blanque,debat paus,institut muj
13,prision menor,mixt acuerd,list esper,popul trill,habl dialog,estatut gernik,diput izquierd,gas efect,legal diner,resolu nacion,tip reduc,trat constitucional,pas mocion,percib pension,madr sevill,sistem universitari,control tribunal,convalid vot,consej fiscal,sindical acumul,mardon nombr,revision catastral,aquell enmiend,telemat vot,polit turist,nombr ministr,crec cre,ejecut juzg,especial agrari,escuel public
14,tipif delit,total inici,reform sanitari,respond alusion,tierr vasc,pact autonom,present federal,nacional agu,montor vicepresident,band terror,public alquil,reanud tard,popul med,pension sistem,fronter frances,reduccion jorn,propi sentenci,finaliz tiemp,superior justici,television satelit,vasc azpiazu,personal eventual,estatut diput,articul paus,proyect investig,dirig vicepresident,program estabil,proteccion animal,fij vasc,muse prad
15,penal vigent,guard ocup,atencion sanitari,turism comparecent,mocion censur,territori histor,cataluny vot,trasv ebro,fond adquisicion,general guardi,transmision patrimonial,trat amsterdam,urgent interpel,replic paus,kilometr autov,nacional formacion,rueg pued,uni carrer,recurs casacion,general audiovisual,flot pesquer,peset increment,acept numer,emit vot,investig cientif,proclam elect,crecimient creacion,anchuel izquierd,interven paus,enseñ public
16,consider delit,guard adel,asistent primari,parcial establ,banc derech,autonom articul,unid rejon,agu residual,rida vasc,civil polic,tip gravam,futur europ,urgent mocion,pension orfand,veloc madr,fij discontinu,perdon rueg,derog octubr,demarc plant,defens competent,polit agrari,gast personal,in voc,popul paus,tecnolog industrial,jos ignaci,recesion econom,justici gratuit,parlamentari des,educ especial
17,penal deb,avoc plen,racional medicament,sector discapac,cos dij,construccion autonom,unid uran,emision gas,atencion client,penal internacional,jurid document,cooper reforz,defend mocion,años cotiz,servici ferroviari,relacion laboral,tribunal constitucional,insult descalif,sal tribunal,corpor bancari,agricol ganader,presupuest respect,añad parraf,aprob rest,foment investig,jur promet,cicl econom,final vid,tiemp maxim,model educ
18,agrav pen,conform dispuest,industri farmaceut,discrimin accesibil,pact libertad,particip tribut,fij izquierd,central termic,diput ir,servici inteligent,impuest transmision,conclu tiemp,somet mocion,nuev pension,red convencional,temporal contrat,reserv legal,minut nombr,articul enjuici,respons limit,product agrari,presupuest anterior,comision enmiend,solicit separ,ofert turist,dirig haciend,econom crec,mont pard,ir acab,polit bec
19,relacion delit,parlamentari mixt,gast sanitari,industri public,tir piedr,titul competencial,popul izquierd,taj segur,consej consumidor,sah occidental,sucesion donacion,trat lisbo,urgent federal,pension jubil,material movil,profesional basic,organ fiscaliz,convalid dese,penal menor,television local,sector vitivinicol,pagares tesor,numer refier,inici enmiend,vicepresident adel,vicepresident formul,deficit exterior,animal compañ,general aviacion,puest escolar
