,Año: 1979 - neg,Año: 1979 - pos,Año: 1980 - neg,Año: 1980 - pos,Año: 1981 - neg,Año: 1981 - pos,Año: 1982 - neg,Año: 1982 - pos,Año: 1983 - neg,Año: 1983 - pos,Año: 1984 - neg,Año: 1984 - pos,Año: 1985 - neg,Año: 1985 - pos,Año: 1986 - neg,Año: 1986 - pos,Año: 1987 - neg,Año: 1987 - pos,Año: 1988 - neg,Año: 1988 - pos,Año: 1989 - neg,Año: 1989 - pos,Año: 1990 - neg,Año: 1990 - pos,Año: 1991 - neg,Año: 1991 - pos,Año: 1992 - neg,Año: 1992 - pos,Año: 1993 - neg,Año: 1993 - pos,Año: 1994 - neg,Año: 1994 - pos,Año: 1995 - neg,Año: 1995 - pos,Año: 1996 - neg,Año: 1996 - pos,Año: 1997 - neg,Año: 1997 - pos,Año: 1998 - neg,Año: 1998 - pos,Año: 1999 - neg,Año: 1999 - pos,Año: 2000 - neg,Año: 2000 - pos,Año: 2001 - neg,Año: 2001 - pos,Año: 2002 - neg,Año: 2002 - pos,Año: 2003 - neg,Año: 2003 - pos,Año: 2004 - neg,Año: 2004 - pos,Año: 2005 - neg,Año: 2005 - pos,Año: 2006 - neg,Año: 2006 - pos,Año: 2007 - neg,Año: 2007 - pos,Año: 2008 - neg,Año: 2008 - pos,Año: 2009 - neg,Año: 2009 - pos,Año: 2010 - neg,Año: 2010 - pos,Año: 2011 - neg,Año: 2011 - pos,Año: 2012 - neg,Año: 2012 - pos,Año: 2013 - neg,Año: 2013 - pos,Año: 2014 - neg,Año: 2014 - pos,Año: 2015 - neg,Año: 2015 - pos,Año: 2016 - neg,Año: 2016 - pos,Año: 2017 - neg,Año: 2017 - pos,Año: 2018 - neg,Año: 2018 - pos,Año: 2019 - neg,Año: 2019 - pos
10,president permit,cre deb,transitori cuart,expres conform,perfect clar,ningun tip,busc solucion,sector agrari,pid explic,brav lagun,viv enmiend,garc tizon,suprim parraf,vay termin,devalu peset,increment cient,hech president,organ jurisdiccional,contest alusion,garc margall,mocion aprob,prest servici,plen campañ,vot emit,sid contradich,deb dec,conden delit,quier manifest,gust escuch,reduccion deficit,ello solicit,des fij,cuand conoc,ministr sanid,sanid consum,popul palaci,rueg guard,ultim seman,popul entiend,derech inmigr,vocal consej,presupuest presupuest,valor hac,ministr previst,plan iguald,document oficial,part ahi,inclus propi,parlament vasc,pas debat,nadi cre,asum compromis,proces regulariz,acab tiemp,españ pued,integr inmigr,doy formul,portavoz popul,dich pued,estimul fiscal,respuest ministr,fond estatal,parlament ultim,reduccion deficit,termin complet,veint años,cultur deport,hech verd,extraordinari comision,vot comparecent,previst articul,esper respuest,pas debat,rest grup,vot emit,increment salari,asunt exterior,relat acuerd,histori españ,tiemp polit,hac popul,sid nombr
11,rueg termin,centr democrat,public boletin,articul dic,demand efect,solucion problem,numer parlamentari,cualqui cas,tra colacion,consider deb,pid cuestion,numer vasc,banc derech,garc tizon,integr otan,izquierd unid,lleg moment,acta unic,proposicion lueg,problem polit,esper dentr,des fij,tem import,unid inici,ped separ,unid inici,opinion merec,ningun maner,bloqu rest,ministeri educ,justific injustific,part ahi,provinci badajoz,objet fundamental,fij nombr,popul montor,nombr vasc,trat mism,nombr federal,hagal breved,nombr vasc,replic minut,des fij,acept izquierd,suspend reanud,parec deb,trabaj asunt,mocion cre,fij popul,tramit anterior,comision parlamentari,termin tiemp,termin piens,prox años,pid separ,diput doñ,gast diner,entrad vigor,pod acept,proxim seman,mejor ped,crecimient econom,cumpl acuerd,hac referent,hac quinc,quier agradec,ir acab,pas histori,tod sincer,recort derech,segu trabaj,condicion iguald,cultur deport,tiemp conclu,legard uriart,rueg conclu,pas ahor,pued concentr,declar institucional,comerci turism,pregunt dirig,escrutini vot
12,respond nombr,ped vot,articul manten,const acta,deb hac,ministeri fiscal,interpel pregunt,agricultur montañ,part cam,ateng cuestion,razon indic,enmiend mixt,razon carg,rumor banc,grav situacion,ultim instanci,articul parraf,ultim instanci,actuacion inspector,diput izquierd,empres merc,portavoz popul,vot separ,represent popul,entend proyect,sistem proteccion,apoy inici,protest escañ,habl relacion,garc margall,postur popul,articul apart,efect asi,formul excelentisim,acat constitu,vay termin,entiend aprob,dic cos,formul vicepresident,mism hac,present nombr,dar lectur,trabaj autonom,gestion aeroportuari,ministeri foment,pas debat,celer actu,rob vehicul,suspend reanud,nunc quis,ejerc mujer,vay conclu,ministr dispon,izquierd verd,moment critic,ciudadan ciudadan,modific codig,pued asegur,cre moment,adopt med,pid retir,ningun problem,cas faisan,dic sentenci,pong nervios,burbuj inmobiliari,diput termin,rog dej,inmens cam,public justici,haciend administr,mil emple,segu trabaj,portavoz popul,cre emple,polit pid,formul grup,sensibil haci,nombr popul,acept enmiend,quier romp,deb termin
13,foral navarr,conveni colect,rueg cam,supresion articul,sant sed,presupuest general,orador pronunci,econom europe,pod cont,tiemp minut,razon clar,brav lagun,separ demas,garc amig,comision presupuest,cort plaz,bas articul,parec razon,instal camp,cre record,comision investig,reform universitari,exigent calid,mejor situacion,dich efect,portavoz izquierd,debat rumor,fuerz cuerp,aplaus banc,represent popul,sanid public,vay conclu,modific modific,parec import,trec años,parec absolut,conclu debat,dejem dig,mañan tard,comision agricultur,formul vicepresident,efect alusion,vay conclu,interes socied,garantiz plen,conclu tiemp,defens present,hech gravis,segu avanz,portavoz popul,discut discut,cien cien,dar argument,respet constitu,opa endes,tiemp conclu,sab ningun,sector electr,pas seman,ir acab,chav vicepresident,model product,nombr popul,prest servici,brot verd,unid inici,corpor local,recort derech,mejor result,bec erasmus,cultur deport,pid tom,cualqui cas,plan concert,trabaj junt,correspond ahor,sanid servici,educ universitari,algun enmiend,cohesion territorial,crisis econom,ir termin
14,sid alud,brav lagun,rueg ciñ,articul establec,rueg ciñ,pued produc,rueg ciñ,previst articul,president aclar,crisis econom,vari polit,vay termin,maxim breved,enmiend mixt,ningun maner,organ autonom,seguimient plan,comit empres,dic asi,brav lagun,cre despues,norm legal,ofert public,vergenci uni,dich conoc,veloc madr,respect enmiend,garc fonsec,termin cos,conoc perfect,cam cuy,part grup,ocup carg,unid inici,conclu tiemp,convalid des,cre import,diferent grup,nombr popul,camin haci,trabaj asunt,public vot,gast farmaceut,volv produc,ocup escañ,empres van,canari mardon,baj respons,present defens,guerr ilegal,falt criteri,pesc aliment,tan amabl,lid oposicion,ademas logr,ampli consens,correspond izquierd,inici defens,tra presupuest,dud algun,audienci nacional,reduc impuest,congel pension,conjunt ciudadan,perd confianz,dat criminal,asunt exterior,termin deb,nombr popul,sostenibil energet,exact mism,hech alusion,garant derech,decision polit,guard continu,ahor grup,estatut autonom,med piens,cre emple,ciudadan ciudadan,vicepresident adel,ministr funcion
15,present asunt,dictam comision,aprob numer,vot separ,consider proposicion,acab aprob,futur cort,podr hab,asunt rumas,represent popul,carg administr,termin tiemp,const part,numer popul,portavoz minor,estructur mand,pued entend,puest march,tra cam,quier señal,asum compromis,mism tiemp,defend derech,enmiend total,dad graved,aprob proposicion,permanent dic,vergenci uni,present cam,crecimient econom,situacion encontr,unid inici,nombr popul,vay conclu,interpel urgent,modif regim,uni valencian,asum compromis,ir conclu,dej constanci,grup polit,hospital public,ministeri foment,recaud impuest,consej europe,deb conclu,continu debat,recort derech,ningun cas,enmiend parcial,españ perd,ejercici respons,quier pregunt,termin tiemp,iba dirig,turism comerci,defens libert,administr justici,ministr españ,acab tiemp,llev años,turism comerci,cambi criteri,cre razon,cumpl fielment,turism comerci,emple segur,van pod,puest march,van imped,oblig reconoc,sur europ,aliment medi,ello ped,organ modif,diput sen,polit españ,delg ram,sanid servici,habl andaluc,consecuent tramit,interior funcion
16,dud ningun,sector electr,dej abiert,respond nombr,acab oir,consej ministr,funcion fiscaliz,brav lagun,problem grav,vay termin,querr sab,tiemp maxim,rog president,brav lagun,pension viuded,demas grup,ped tramit,brav lagun,da casual,vot emit,ampli sector,polit cultural,realiz deleg,garc margall,replic termin,salari minim,dec solchag,seri med,intent explic,des fij,ministr dec,present sustitu,termin rapid,formul excmo,nombr izquierd,segur cre,nombr mixt,interven debat,present plen,alusion personal,expres acept,final popul,nombr popul,deb conclu,dig tod,unid acept,nombr popul,precaried laboral,segu trabaj,hag figur,astiller izar,larg legislatur,gravisim problem,diput doñ,miembr comision,polic guardi,doy reproduc,diput doñ,vicepresident cam,turism comerci,popul esper,portavoz popul,popul consider,servici public,quier termin,trabaj realiz,nombr popul,apoy proposicion,fiscal hiz,doy formul,pregunt dirig,defiend enmiend,sentenci condenatori,segur priv,candidat president,vasc esteb,dej clar,amnist fiscal,dar grup,maner just,debat total,aizpuru arzallus
17,econom merc,director general,min almaden,consecuent aprob,reserv activ,acuerd sant,proced legisl,separ articul,dich efect,consiguient aprob,cont apoy,portavoz popul,asi lament,paus vot,bloqu articul,distint grup,apoy tom,dud algun,kilometr hor,dictam comision,tra cam,rueg conclu,mism hech,paus vot,cam plan,rechaz enmiend,dic unas,vot emit,incendi forestal,unid inici,pag impuest,portavoz popul,verdader preocup,des fij,ministr justici,portavoz popul,des fij,agost estatut,deb conclu,proced proposicion,unid mixt,objet pid,trabaj asunt,perd competit,interes partid,vac loc,ocup escañ,acab segu,segu hac,quinc segund,plant cuestion,diput doñ,pregunt justici,turism comerci,termin realid,tant person,exig cumplimient,part ahi,logr sab,unid inici,plant situacion,adopt med,labor control,unid inici,dej herenci,consolid fiscal,diput vicepresident,ministr presupuest,sostenibil sistem,nombr industri,medi ambient,tan siqu,ir termin,cre necesari,polit educ,diput diput,ministr adel,corrupcion popul,conferent sectorial,oblanc mixt,dej ejecut,candidat president
18,dad afirm,vot separ,quier uso,pas exam,acab debat,vot separ,region españ,garci margall,cuestion quier,tiemp maxim,pregunt consider,garc agudin,mism line,articul apart,separ enmiend,rueg conclu,med tom,rueg conclu,rog president,rueg conclu,aplic articul,hac esfuerz,perd vid,rueg conclu,secretari judicial,portavoz popul,autov leiz,unid inici,cre derech,vot emit,ministr hac,rueg conclu,confianz cam,rueg conclu,defens interes,aprob convalid,deb conclu,vasc numer,nombr vasc,defens present,formul med,vay termin,inici referent,tan amabl,inici legisl,señal acept,suspend reanud,deb conclu,continu debat,campañ public,ten criteri,vot emit,enmiend retir,portavoz popul,manifest comision,vot emit,conclu fijacion,tiemp conclu,españ hac,activ econom,condicion refugi,puest march,solidar internacional,consolid fiscal,repart tiemp,cataluny españ,ministr diput,estimul crecimient,despues escuch,privatiz sanid,pas fijacion,deb conclu,fortalec derech,intencion relacion,esteb brav,nombr mixt,castill manch,acog refugi,minut comenz,send estabil,soberan nacional,espin monter
19,public boletin,formacion polit,numer numer,efect desarroll,previst articul,ped separ,ningun cas,llam atencion,hac cas,vot emit,maxim breved,vot emit,hor mañan,portavoz popul,rent agrari,vot emit,ejercici funcion,vot emit,propi termin,pued dec,agricultur cam,vot emit,reform reform,rumor protest,tod españ,rueg conclu,mism dic,rueg conclu,solicit separ,rueg conclu,da sensacion,vot emit,manten elev,vot emit,interes españ,convalid diciembr,proced lectur,fij debat,dictamen comision,fij debat,acat constitu,fij debat,popul present,quier fij,rueg guard,portavoz popul,extraordinari import,efect pid,territori nacional,apoy guerr,comision presupuest,ten cuent,cataluñ apoy,vot emit,parec oportun,portavoz popul,final fijacion,vot emit,españ crisis,vot emit,conoc cas,vot emit,hac tiemp,vot emit,derech sab,vot emit,pas fijacion,deb conclu,segur nacional,deb conclu,regulariz extraordinari,doy formul,numer vot,deb conclu,comision mixt,vay conclu,consecuent aprob,nombr mixt,recuper econom,europe cooper,sector taxi,haciend funcion
