,Legislatura: I - neg,Legislatura: I - pos,Legislatura: II - neg,Legislatura: II - pos,Legislatura: III - neg,Legislatura: III - pos,Legislatura: IV - neg,Legislatura: IV - pos,Legislatura: V - neg,Legislatura: V - pos,Legislatura: VI - neg,Legislatura: VI - pos,Legislatura: VII - neg,Legislatura: VII - pos,Legislatura: VIII - neg,Legislatura: VIII - pos,Legislatura: IX - neg,Legislatura: IX - pos,Legislatura: X - neg,Legislatura: X - pos,Legislatura: XI - neg,Legislatura: XI - pos,Legislatura: XII - neg,Legislatura: XII - pos,Legislatura: XIII - neg,Legislatura: XIII - pos
10,letra pausa,ministerio trabajo,toda verdad,quiero indicarl,respuesta da,encima ciento,pide separada,oliv chirivella,argumento da,desean fijar,convenio internacional,transport escolar,texto refundido,ejerc derecho,caso montilla,tropa irak,necesidad imperiosa,dato criminalidad,alguna forma,quiero saber,utilizando mismo,dar cara,mantenimiento poder,servicio ferroviario,lealtad institucion,asilo refugio
11,mañana media,presupuesto general,estima oportuno,terminado tiempo,penal delito,sube tribuna,solicito presidencia,dentro conjunto,haber dejado,quisiera destacar,fijar nombr,maestro termin,haciendo esfuerzo,podemo aceptarla,decoro dignidad,texto dictamen,caso ere,rural marino,ingreso tributario,termino solament,sido capaz,poner marcha,justicia derecho,part ministerio,secretario seguridad,materia seguridad
12,podemo seguir,cantidad dinero,vario hecho,centrista pausa,razon justifican,quisiera señalar,breve minuto,seriedad rigor,tribuna defend,deseen fijar,dictamen correspondient,doy formulada,cultura deport,recort derecho,van aprobar,permanent pertenecient,generacion entera,ciento iva,seguir trabajando,minuto solo,afrontar problema,reforma estatut,acepta alguna,acogida refugiado,prudent razon,convocatoria extraordinaria
13,sociedad estat,brevement oponerno,interno resident,soler valero,pedir separada,debo decirl,personal persona,indicado portavoz,respeto parlamento,crisi presupuestaria,problema creo,presidencia dar,interpelacion urgent,sino respeto,solb hace,quiero subrayar,subir impuesto,problema solo,educativo temprano,argumento defend,censo elector,seguridad ferroviaria,ocupen escaño,trabajador pobr,prohibir indulto,candidato presidencia
14,actuacion materia,respuesta recibida,damo defendida,catalana pausa,concluyo diciendo,manera quiero,mañana rumor,zona desfavorecida,forma reiterada,vaya concluyendo,nombr proponent,censo elector,nombr feder,nadi cree,echar culpa,desea ejerc,doy reproducida,puesto marcha,gasto corrient,inform dispon,quiero decirl,reforma constitucion,pueden dar,trabajando transaccion,verdadera cara,part important
15,pausa procedemo,ministerio hacienda,venga gana,tiempo minuto,pidiendo grito,part creo,pido alusion,cierta medida,sido aludido,ssss conocen,cost cero,intervenir debat,impuesto patrimonio,solucionado problema,toma nota,aria cañet,hecho absolutament,juec fiscal,promet acatar,grave acusacion,falta respeto,fuerza cambio,deudor hipotecario,finalizar debat,poner duda,duda alguna
16,transferencia corporacion,cualquier caso,hecho posterior,terminado debat,mercado labor,privativa libertad,instruccion dado,mejor condicion,adjudicacion directa,interpelacion urgent,correspondient dictamen,lasagabast defensa,formula vicepresident,meno propaganda,tan amabl,andaluc andaluza,toda escala,acabado tiempo,pagar factura,balanc hace,gastar gastar,junta portavoc,dirigida ahora,universalidad sanidad,igualdad oportunidad,empresa afectada
17,cuanto fondo,solucionar problema,doy defendida,conform dictamen,necesario modificar,duda alguna,verdad altura,consiguient creo,empresa financiera,sistema sanitario,tratar explicar,objeto pide,crecimiento empleo,ir concluyendo,adopt medida,tiempo concluido,nadi cree,servicio control,derecho comparado,doy reproducida,cualquier accident,materia vivienda,texto dictamen,creo explicado,pasando mal,efecto llamada
18,venia presidencia,pasamo examen,meno toda,vaya terminando,inversion part,acuerdo posibl,ello debemo,alguna cosa,ocupar cargo,presentamo transaccion,distinta seccion,falta argumento,quiero destacar,cuenta secreta,dicho mejor,interpelacion urgent,subida tarifa,turismo comercio,mejor caso,doy formulada,cumplido obligacion,vaya concluyendo,presidencia relacion,solo efecto,campaña elector,doce mese
19,totalidad dicho,pedimo separada,obligado presentar,acuerdo dictamen,tercero cuarto,programa desarrollo,dar explicacion,conjunto administracion,hora fijar,congreso formula,dicho mañana,fijar debat,haber dicho,tiempo inspector,detenido ilegalment,turismo comercio,expedient disciplinario,poner manifiesto,sistema tributario,debe concluir,toda objetivo,dar paso,mañana hora,comercio turismo,estabilidad presupuestaria,medida urgent
