,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
10,rechazado apartado,figura gobernador,gasto person,deuda comerci,proced ocupa,consecuencia convalidado,nuclear garoña,dirigida trabajo,propon pleno,solicita separada,ambient medio,perdon momento,abr toma,mixta tribun,prend prend,consejo regulador,sector ferroviario,vivienda libr,renta alta,consejo asunto,reforma universidad,producto interior,seguridad privada,suspend minuto,oficina judici,proyecto texto,subsidio desempleo,transaccional presentada,vo to,solicitamo separada
11,transport turismo,hemiciclo hagan,gasto funcionamiento,acepta alguna,lengua catalana,actividad sindic,derecho asilo,copia privada,acordado junta,ir acabando,nacion residuo,mañana media,lamento tiempo,control tribun,obligars medio,daño producido,plan transport,precio suelo,impuesto sucesion,libr comercio,estatuto gernika,interior bruto,cuartel guardia,reanuda minuto,recurso previo,proyecto debatiendo,paro juvenil,formula prevision,mujer mundo,junta jefe
12,enseñanza media,vayan abandonar,presupuesto inici,sostenibilidad financiera,mismo sexo,esper momento,sistema portuario,acceso internet,desea fijar,sido retirada,efecto invernadero,cd souto,excmo sr,presupuesto tribun,consentimiento obligars,lluvia torrencial,red convencion,parqu vivienda,impuesto directo,ciudadano europeo,sociedad cotizada,crecimiento producto,militar guardia,formula excelentisimo,judici efectiva,proyecto presenta,cd pausa,suscrita vicen,violencia machista,necesidad defensa
13,enseñanza secundaria,pasar debat,interterritori sistema,participacion preferent,transitoria final,anasagasti olabeaga,entiend presidencia,tercero mocion,proced toma,proced juramento,problema agua,local ayuntamiento,nacion identidad,reanuda vii,aplauso banco,dirigida industria,apartado pausa,mercado vivienda,impuesto valor,europeo celebrado,efecto aceptar,sector textil,fuerza seguridad,sexual reproductiva,tribunal superior,efecto solicita,crecer crear,orama mismo,pausa vo,ocm fruta
14,oficina censo,continuemo debat,profesion sanitaria,solicito separada,casa majestad,tard levanta,autoridad portuaria,concluir debat,pasamo examinar,proclamado electo,pacto agua,fomento formula,pesca alimentacion,estrictament castrens,exterior comparecencia,daño personal,red carretera,vivienda propiedad,tipo reducido,reforma tratado,parlamento balear,balanza cuenta,acepta rechaza,salud sexual,magistrado tribun,sometemo toma,trabajador trabajadora,vicen giralt,gra cia,grand astillero
15,calidad educativa,legislativa debat,sistema sanitario,factura pendient,uso lengua,sindic empresa,civil subsidiaria,estat participacion,presidencia somet,mero expedient,efecto expresar,accesibilidad univers,biblioteca nacion,minuto procederemo,seguidament conform,correspondient plenaria,aeropuerto barcelona,vota propio,bajada impuesto,pacto fiscal,debat tasado,capit riesgo,cuerpo policial,relativa dictamen,jurisprudencia tribun,alternativo proyecto,cifra paro,reabierto debat,desea ejerc,final agraria
16,cort igualdad,hemiciclo adelant,presupuesto financiero,compromiso estabilidad,adicional final,acepta presentada,libertad tarifaria,fuert rumor,reglamento presidencia,legalidad internacion,medio marino,igualdad formula,interpelacion dirigida,humano nacion,soler valero,medida previsto,transport terrestr,plane vivienda,transmision patrimonial,identidad europea,toda universidad,bruta capit,instituto armado,voluntaria embarazo,constitucion sentencia,proyecto introduc,accident trabajo,mismo jorquera,pacto ajuria,militar complemento
17,escolar temprano,motor seguridad,modelo sanitario,compartir tiempo,softwar libr,convalidado solicitado,senado provecto,iv mocion,acuerdo junta,electo junta,residuo envas,nombr interpelant,museo titularidad,preso conciencia,dobl vara,natur biodiversidad,dirigida vicepresident,suelo vivienda,rebaja impuesto,frontera exterior,mercado valor,demanda interna,ministerio interior,formula previsto,contencioso administrativa,present proyecto,calidad empleo,plena bienvenido,oportunidad hombr,renta agricultor
18,transaccion opon,helm burton,total presupuesto,reforma financiera,mardon defensa,licencia doblaj,diputacion foral,participacion industrial,desea utilizar,carta nacion,uso agua,fijar feder,guarden continuar,procedimiento habea,mont vecinal,urgent confeder,formula lui,derecho vivienda,toda pension,custodia compartida,profesor titular,mercado exterior,mardon continuamo,relativo proposicion,asistencia letrada,alternativo presentado,precariedad labor,procedemo ahora,mujer sufren,militar profesion
19,cumplir fielment,oliv cd,respecto presupuesto,deuda privada,lengua castellana,novoa carcacia,minuto pausa,plazo otorgado,constitutivo acuerdo,promesa acatar,emision gase,misma pausa,ii toma,recient inundacion,materia clasificada,nacion doñana,servicio ferroviario,estat vivienda,renta persona,asunto general,profesor asociado,bruto ciento,modelo polici,publica transport,correspondient dictamen,edad penal,contrato tempor,lui perestelo,mujer maltratada,sindicato agrario
